municipality_code,municipality_name,5弱未満,5弱,5強,6弱,6強以上,No data,Total
13101,千代田区,0,0,35,9,0,0,44
13102,中央区,0,0,16,8,0,0,24
13103,港区,0,0,25,27,0,0,52
13104,新宿区,0,0,182,72,0,2,256
13105,文京区,0,0,89,3,0,0,92
13106,台東区,0,0,100,33,0,6,139
13107,墨田区,0,0,9,95,3,8,115
13108,江東区,0,0,0,11,0,0,11
13109,品川区,0,0,6,8,0,0,14
13110,目黒区,0,0,5,28,0,0,33
13111,大田区,0,0,28,10,0,0,38
13112,世田谷区,0,0,4,37,0,0,41
13113,渋谷区,0,0,0,31,0,0,31
13114,中野区,0,0,15,2,0,0,17
13115,杉並区,0,0,4,25,0,0,29
13116,豊島区,0,0,24,6,0,122,152
13118,荒川区,0,0,1,1,0,0,2
13119,板橋区,0,0,2,1,0,0,3
13120,練馬区,0,0,2,0,0,0,2
13121,足立区,0,0,0,1,0,0,1
13122,葛飾区,0,0,4,2,0,2,8
13123,江戸川区,0,0,2,1,0,239,242
13201,八王子市,0,0,0,10,0,0,10
13202,立川市,0,0,0,2,0,0,2
13203,武蔵野市,0,0,0,4,0,0,4
13204,三鷹市,0,0,1,25,0,0,26
13205,青梅市,0,0,2,32,4,0,38
13206,府中市,0,0,0,9,0,0,9
13207,昭島市,0,0,0,4,0,0,4
13208,調布市,0,0,3,66,0,1,70
13209,町田市,0,0,1,4,0,0,5
13210,小金井市,0,0,0,4,0,0,4
13211,小平市,0,0,0,1,0,19,20
13212,日野市,0,0,0,6,1,0,7
13213,東村山市,0,0,0,37,6,3,46
13214,国分寺市,0,0,0,41,4,0,45
13215,国立市,0,0,0,72,0,11,83
13218,福生市,0,0,0,15,0,0,15
13219,狛江市,0,0,1,0,0,0,1
13220,東大和市,0,0,0,2,3,0,5
13221,清瀬市,0,0,0,2,0,0,2
13222,東久留米市,0,0,0,11,0,0,11
13223,武蔵村山市,0,0,0,1,0,0,1
13224,多摩市,0,0,0,8,0,0,8
13225,稲城市,0,0,0,1,0,0,1
13227,羽村市,0,0,0,4,0,0,4
13228,あきる野市,0,0,6,51,0,10,67
13229,西東京市,0,0,0,10,0,0,10
13305,日の出町,0,0,0,1,0,0,1
13307,檜原村,0,0,0,6,0,0,6
13361,大島町,0,0,0,0,0,7,7
13362,利島村,0,0,0,0,0,1,1
13363,新島村,0,0,0,0,0,6,6
13381,三宅村,0,0,0,0,0,2,2
13401,八丈町,0,0,0,0,0,1,1
