municipality_code,municipality_name,Designated,Other,Registered,Unknown,Total
13101,千代田区,21,0,23,0,44
13101,青ケ島村,0,0,0,0,0
13102,中央区,18,60,12,0,90
13102,青ケ島村,0,0,0,0,0
13103,港区,25,0,27,0,52
13103,青ケ島村,0,0,0,0,0
13104,新宿区,8,0,16,232,256
13104,青ケ島村,0,0,0,0,0
13105,文京区,28,0,64,0,92
13105,青ケ島村,0,0,0,0,0
13106,台東区,62,29,48,0,139
13106,青ケ島村,0,0,0,0,0
13107,墨田区,7,0,4,104,115
13107,青ケ島村,0,0,0,0,0
13108,江東区,30,0,369,0,399
13108,青ケ島村,0,0,0,0,0
13109,品川区,7,0,7,0,14
13109,青ケ島村,0,0,0,0,0
13110,目黒区,17,0,16,0,33
13110,青ケ島村,0,0,0,0,0
13111,大田区,7,0,31,0,38
13111,青ケ島村,0,0,0,0,0
13112,世田谷区,14,0,27,0,41
13112,青ケ島村,0,0,0,0,0
13113,渋谷区,21,0,10,0,31
13113,青ケ島村,0,0,0,0,0
13114,中野区,10,0,12,0,22
13114,青ケ島村,0,0,0,0,0
13115,杉並区,5,0,23,75,103
13115,青ケ島村,0,0,0,0,0
13116,豊島区,36,1,122,0,159
13116,青ケ島村,0,0,0,0,0
13118,荒川区,0,0,0,2,2
13118,青ケ島村,0,0,0,0,0
13119,板橋区,0,0,0,3,3
13119,青ケ島村,0,0,0,0,0
13120,練馬区,0,0,0,2,2
13120,青ケ島村,0,0,0,0,0
13121,足立区,0,0,0,1,1
13121,青ケ島村,0,0,0,0,0
13122,葛飾区,7,2,2,207,218
13122,青ケ島村,0,0,0,0,0
13123,江戸川区,6,0,0,236,242
13123,青ケ島村,0,0,0,0,0
13201,八王子市,15,0,0,0,15
13201,青ケ島村,0,0,0,0,0
13202,立川市,0,0,2,0,2
13202,青ケ島村,0,0,0,0,0
13203,武蔵野市,1,0,3,0,4
13203,青ケ島村,0,0,0,0,0
13204,三鷹市,2,0,24,0,26
13204,青ケ島村,0,0,0,0,0
13205,青ケ島村,0,0,0,0,0
13205,青梅市,20,0,21,0,41
13206,府中市,8,0,1,0,9
13206,青ケ島村,0,0,0,0,0
13207,昭島市,3,0,1,0,4
13207,青ケ島村,0,0,0,0,0
13208,調布市,48,0,22,0,70
13208,青ケ島村,0,0,0,0,0
13209,町田市,5,0,0,0,5
13209,青ケ島村,0,0,0,0,0
13210,小金井市,2,1,4,35,42
13210,青ケ島村,0,0,0,0,0
13211,小平市,2,0,0,18,20
13211,青ケ島村,0,0,0,0,0
13212,日野市,5,0,2,0,7
13212,青ケ島村,0,0,0,0,0
13213,東村山市,7,5,0,34,46
13213,青ケ島村,0,0,0,0,0
13214,国分寺市,41,0,4,0,45
13214,青ケ島村,0,0,0,0,0
13215,国立市,19,0,64,0,83
13215,青ケ島村,0,0,0,0,0
13218,福生市,1,0,14,0,15
13218,青ケ島村,0,0,0,0,0
13219,狛江市,16,0,0,0,16
13219,青ケ島村,0,0,0,0,0
13220,東大和市,0,22,6,2,30
13220,青ケ島村,0,0,0,0,0
13221,清瀬市,2,0,0,0,2
13221,青ケ島村,0,0,0,0,0
13222,東久留米市,3,0,14,79,96
13222,青ケ島村,0,0,0,0,0
13223,武蔵村山市,1,0,0,0,1
13223,青ケ島村,0,0,0,0,0
13224,多摩市,4,0,4,0,8
13224,青ケ島村,0,0,0,0,0
13225,稲城市,1,0,0,0,1
13225,青ケ島村,0,0,0,0,0
13227,羽村市,2,0,2,0,4
13227,青ケ島村,0,0,0,0,0
13228,あきる野市,115,0,18,0,133
13228,青ケ島村,0,0,0,0,0
13229,西東京市,1,0,9,0,10
13229,青ケ島村,0,0,0,0,0
13305,日の出町,1,0,0,0,1
13305,青ケ島村,0,0,0,0,0
13307,檜原村,2,0,4,0,6
13307,青ケ島村,0,0,0,0,0
13361,大島町,7,0,0,0,7
13361,青ケ島村,0,0,0,0,0
13362,利島村,3,0,1,0,4
13362,青ケ島村,0,0,0,0,0
13363,新島村,0,0,6,0,6
13363,青ケ島村,0,0,0,0,0
13381,三宅村,2,0,0,0,2
13381,青ケ島村,0,0,0,0,0
13401,八丈町,0,0,0,8,8
13401,青ケ島村,0,0,0,0,0
13402,青ケ島村,1,0,0,0,1
